,predictions,groundtruths
217,40.51948,43.6
218,30.118202,19.7
219,30.628216,14.7
220,29.481209,11.600000000000001
221,24.457598,10.5
222,29.22312,9.9
223,39.07967,13.5
224,41.16842,8.8
225,45.36586,14.1
226,49.29798,10.3
227,53.493576,6.7
228,5.084365,6.2
229,5.7100525,6.0
230,5.9837265,4.1
231,7.134985,5.7
232,9.11042,8.7
233,6.7659345,8.7
234,10.230617,10.3
235,12.31982,9.3
236,15.82851,70.3
237,21.515993,74.9
238,29.152887,79.5
239,31.55426,49.4
240,28.76481,34.5
241,20.066862,23.8
242,16.184065,17.9
243,17.020403,16.0
244,18.062458,13.7
245,14.794104,12.100000000000001
246,17.319223,11.6
247,21.351603,12.8
248,23.759943,16.4
249,25.6191,13.7
250,28.234114,13.8
251,28.507627,12.7
252,7.5927033,10.9
253,7.17134,9.1
254,7.024618,6.999999999999999
255,8.181355,7.500000000000001
256,10.019591,7.099999999999999
257,7.563909,15.300000000000002
258,11.01907,59.9
259,13.4819145,84.9
260,16.904413,102.09999999999998
261,22.47779,119.3
262,29.601137,61.9
263,32.03062,46.8
264,31.017221,25.1
265,21.777225,9.9
266,17.884663,7.4
267,19.315823,7.500000000000001
268,20.644413,8.9
269,16.842117,11.300000000000002
270,20.27893,11.3
271,25.481226,11.6
272,29.811567,15.400000000000002
273,33.31131,19.7
274,38.600765,21.8
275,39.145096,26.699999999999996
276,14.463943,22.799999999999997
277,11.931701,14.2
278,10.867083,17.5
279,12.313382,23.1
280,14.112002,25.7
281,11.286081,26.600000000000005
282,15.291593,32.9
283,19.334265,40.7
284,22.642347,45.4
285,27.848896,54.5
286,34.3448,43.6
287,35.945496,35.8
288,22.523897,24.8
289,15.592025,17.5
290,12.92898,6.6
291,13.572197,4.6
292,14.869932,4.5
293,11.499754,2.7
294,13.996617,2.9
295,17.128904,5.0
296,19.826958,7.6
297,23.170424,10.3
298,28.14026,18.9
299,29.348915,26.1
300,14.126314,34.0
301,11.636581,40.3
302,10.649209,37.4
303,11.885974,34.8
304,13.652095,33.5
305,11.039744,35.1
306,14.504776,18.1
307,18.245178,13.9
308,20.4828,15.299999999999999
309,24.451763,26.7
310,29.21109,45.3
311,29.919401,40.2
312,21.36565,40.3
313,14.15618,30.9
314,11.76779,20.5
315,12.176971,17.2
316,13.239214,18.1
317,9.840722,15.6
318,12.774471,18.0
319,15.946484,14.4
320,18.87908,12.9
321,23.885687,11.0
322,30.193022,13.0
323,32.96605,12.7
324,6.6948137,13.8
325,7.724223,14.5
326,7.9235816,15.499999999999998
327,9.481885,14.8
328,11.802719,16.4
329,9.452752,13.199999999999998
330,13.020649,13.2
331,15.858488,23.3
332,18.790527,31.3
333,23.182116,26.6
334,29.19154,20.6
335,29.905193,17.1
336,12.578314,13.900000000000002
337,9.520537,9.8
338,8.169708,7.699999999999999
339,8.353146,5.1
340,10.030572,5.5
341,7.3817806,5.9
342,8.6267,6.0
343,9.6043005,7.5
344,10.779225,7.8
345,12.5392885,9.9
346,15.373973,13.1
347,15.684277,11.6
348,5.915887,11.0
349,6.6121354,17.7
350,6.7083964,23.9
351,7.7582326,17.3
352,9.828263,15.100000000000001
353,7.7973027,9.100000000000001
354,10.227954,7.299999999999999
355,12.055954,13.599999999999998
356,13.749673,17.1
357,16.536041,17.8
358,19.866365,19.5
359,19.931557,12.9
360,7.7360353,10.1
361,6.697356,11.0
362,6.1662817,11.7
363,6.590482,10.6
364,8.425108,12.200000000000001
365,6.1256385,12.5
366,7.638015,15.200000000000001
367,8.371578,17.5
368,9.893568,16.6
369,12.312671,18.4
370,15.42115,20.7
371,16.017988,17.4
372,10.858896,17.2
373,9.571029,19.1
374,8.79903,24.5
375,9.839314,22.9
376,11.868746,17.8
377,9.410961,16.2
378,11.82622,14.9
379,14.190161,17.9
380,16.321924,24.1
381,18.945894,25.7
382,22.078562,33.7
383,22.02238,23.899999999999995
384,13.303024,18.0
385,10.063092,10.4
386,8.780335,7.799999999999999
387,9.4132,7.299999999999999
