,predictions,groundtruths
393,26.164852,14.7
394,25.244244,12.4
395,25.359274,10.4
396,8.524032,8.5
397,9.576673,8.3
398,10.534926,7.1
399,7.9931264,6.6
400,9.125949,6.5
401,8.623799,7.0
402,11.107843,8.3
403,9.804122,16.8
404,14.953412,29.8
405,13.880132,30.699999999999996
406,13.806801,32.0
407,13.414899,35.0
408,25.389133,35.1
409,25.560858,28.5
410,26.941639,16.4
411,15.60504,14.0
412,15.549137,13.2
413,13.948443,12.9
414,16.072668,13.2
415,15.520602,15.2
416,25.035362,18.8
417,21.523817,22.2
418,20.808424,21.2
419,21.14662,17.0
420,12.102817,17.9
421,13.523299,19.3
422,15.302097,20.299999999999997
423,10.755538,19.1
424,11.719851,21.3
425,10.711895,22.6
426,14.219344,28.900000000000002
427,13.432495,35.4
428,23.381737,54.1
429,21.896523,43.4
430,22.727188,39.8
431,23.305605,39.2
432,30.43366,19.6
433,32.09259,15.4
434,35.160492,14.9
435,20.504622,14.5
436,20.730728,14.3
437,18.53498,14.8
438,20.892336,19.7
439,20.9107,33.9
440,36.670975,43.2
441,30.55666,40.3
442,29.122545,42.5
443,29.318386,43.5
444,32.864475,41.3
445,35.01854,40.6
446,38.95404,42.6
447,22.559029,23.5
448,22.753561,21.2
449,20.204212,21.6
450,22.988882,24.500000000000004
451,23.43547,34.2
452,41.889862,47.7
453,35.07779,34.0
454,33.565136,41.9
455,33.95523,46.8
456,35.59228,48.7
457,37.922047,30.3
458,42.17158,12.6
459,24.241552,7.5
460,24.371927,5.9
461,21.531832,10.0
462,24.381283,8.8
463,25.098763,10.7
464,45.1257,14.5
465,37.644768,18.8
466,36.114853,17.9
467,36.64053,24.9
468,19.62758,28.800000000000004
469,21.407824,26.3
470,24.054138,30.0
471,14.925286,27.199999999999996
472,15.553714,25.5
473,14.246201,32.2
474,16.97008,42.6
475,16.64915,42.5
476,27.598354,43.8
477,23.83063,45.3
478,23.152288,55.6
479,23.046682,55.9
480,38.08206,51.8
481,37.682007,46.5
482,40.80219,36.5
483,22.467846,25.600000000000005
484,21.77823,14.699999999999998
485,18.83073,13.8
486,21.60694,19.0
487,21.876913,16.2
488,37.976627,23.100000000000005
489,32.59942,19.8
490,32.42726,24.9
491,33.711853,18.7
492,13.198831,19.7
493,15.806214,19.0
494,18.4935,17.0
495,12.725898,16.0
496,13.893496,12.000000000000002
497,12.6913,11.8
498,16.453173,15.8
499,15.814229,14.8
500,28.213428,14.0
