,predictions,groundtruths
119,17.650934,23.9
120,17.53842,10.1
121,13.336897,16.6
122,13.23801,23.5
123,12.312584,25.599999999999998
124,13.134938,17.5
125,11.789616,8.1
126,14.092524,7.7
127,13.572734,10.8
128,16.030672,11.4
129,20.231256,13.5
130,20.264189,15.599999999999998
131,19.826994,17.5
132,12.954238,19.4
133,10.876884,17.4
134,11.331605,12.2
135,10.889095,8.1
136,12.075122,7.1
137,11.15432,9.2
138,13.861334,12.5
139,13.40121,16.7
140,15.654736,21.9
141,20.06292,21.6
142,20.133177,38.3
143,19.5185,24.25
144,17.421455,10.2
145,13.100522,7.4
146,12.832243,6.4
147,11.628351,7.8
148,12.319343,10.899999999999999
149,11.186317,12.1
150,13.1343975,11.000000000000002
151,12.155797,13.3
152,13.88811,13.8
153,17.274431,12.699999999999998
154,16.688177,12.2
155,16.173271,10.8
156,8.00437,11.1
157,7.5711346,8.6
158,8.208347,6.5
159,8.043236,6.5
160,9.379528,5.9
161,9.021856,5.3
162,11.703569,9.2
163,10.420841,11.8
164,12.456346,17.9
165,16.7443,25.800000000000004
166,16.879383,32.9
167,16.482855,51.00000000000001
168,32.548668,38.3
169,22.53292,25.6
170,21.087221,18.1
171,18.996218,15.4
172,18.774828,13.8
173,16.356112,11.3
174,18.466927,10.5
175,19.82166,12.0
176,21.745665,10.9
177,25.782417,9.8
178,25.012394,8.100000000000001
179,24.869549,7.7
180,6.189262,7.0
181,6.3312564,5.9
182,7.088012,4.4
183,7.0961165,3.9
184,8.505769,5.4
185,8.247043,6.9
186,11.2904,9.5
187,9.9166355,11.7
188,12.261365,22.3
189,17.273153,30.299999999999997
190,18.445799,31.6
191,18.440893,26.0
192,18.482271,20.8
193,13.919353,17.9
194,13.324936,16.2
195,11.918791,15.000000000000002
196,12.624657,10.5
197,11.52908,9.5
198,13.096496,10.5
199,11.991893,12.5
200,13.094975,11.9
201,15.55162,12.3
202,13.824019,12.599999999999998
203,13.024191,11.1
204,8.496035,4.5
205,7.337164,3.8999999999999995
206,7.7682815,3.7
207,7.441637,2.8
208,8.542223,3.7
209,8.096995,4.6
210,11.08749,6.9
211,9.771683,11.5
212,12.160321,30.6
213,17.434124,38.9
214,18.669352,83.6
215,19.135132,89.8
216,48.91199,66.2
217,33.162216,36.6
218,30.384703,20.0
219,27.672255,15.100000000000001
220,26.378378,10.5
221,22.720118,10.7
222,25.142324,8.7
223,28.906376,9.85
224,31.623781,11.0
225,36.429882,11.0
226,35.296543,7.900000000000001
227,35.853413,7.1
228,6.856511,9.2
229,6.6434937,7.700000000000001
230,7.384102,5.1
231,7.3380566,4.7
232,8.639919,5.8
233,8.234318,6.8
234,11.560086,10.5
235,10.366469,10.6
236,13.111409,46.10000000000001
237,18.765732,50.449999999999996
238,20.891056,54.8
239,21.2497,41.8
240,27.303028,28.5
241,19.880997,26.199999999999996
242,18.920933,20.3
243,17.347507,19.0
244,17.533655,18.2
245,15.615298,16.1
246,17.511688,15.1
247,17.979464,15.400000000000002
248,20.118385,17.6
249,23.368628,13.899999999999999
250,22.079662,13.900000000000002
251,21.459682,12.55
252,10.564809,11.2
253,8.913376,8.9
254,9.417271,6.0
255,9.132706,5.6
256,10.229316,6.7
257,9.360063,10.1
258,12.736316,43.3
259,12.039483,57.7
260,15.1662445,71.25
261,21.143707,84.8
262,23.397005,43.7
263,23.975826,37.4
264,28.614042,29.7
265,21.297392,14.2
266,20.868254,8.5
267,19.786041,9.3
268,20.341171,10.6
269,17.797382,14.900000000000002
270,20.149794,15.6
271,21.54911,16.2
272,25.44352,21.4
273,29.915192,19.6
274,30.071735,25.800000000000004
275,28.978708,26.1
276,17.854448,23.6
277,14.309427,18.0
278,14.70601,14.100000000000001
279,14.269165,16.3
280,15.230147,22.000000000000004
281,13.565339,23.2
282,16.929771,41.2
283,17.658838,51.9
284,21.235598,66.0
285,27.131207,43.1
286,28.686733,37.6
287,28.538698,39.7
288,29.255545,30.0
289,21.191746,22.899999999999995
290,20.703936,7.3
291,19.429214,3.9
292,19.839766,5.1
293,17.090664,4.7
294,19.69259,6.1
295,21.258656,6.6
296,25.04044,10.8
297,30.220524,17.3
298,31.216318,20.9
299,30.634636,31.400000000000002
300,22.179735,42.5
301,16.98437,45.3
302,17.208359,42.6
303,16.330263,44.3
304,16.983944,45.9
305,15.078918,42.6
306,18.222818,20.6
307,19.587168,17.2
308,22.426346,26.7
309,27.878561,52.7
310,28.705673,46.8
311,28.168047,46.4
312,30.364437,45.7
313,21.117594,39.2
314,20.628628,33.9
315,18.987888,30.39999999999999
316,19.02565,26.099999999999998
317,16.050806,24.0
318,19.22727,26.7
319,20.937008,27.7
320,24.961828,22.1
321,31.464228,15.3
322,33.66984,14.7
323,34.134823,19.2
324,15.017135,16.2
325,13.17958,16.8
326,13.909916,18.5
327,13.957033,16.7
328,15.374421,14.2
329,13.711872,11.699999999999998
330,17.468258,13.7
331,18.241777,25.8
332,22.272636,24.65
333,28.523615,23.5
334,31.665112,21.7
335,31.230011,20.8
336,16.709682,15.600000000000001
337,13.174902,11.400000000000002
338,13.198494,10.0
339,12.34563,6.8
340,13.260052,7.7
341,12.060109,10.0
342,14.1108675,9.5
343,13.567684,11.5
344,15.545521,11.6
345,19.018454,11.8
346,18.580694,13.3
347,17.789175,10.7
348,7.636193,11.3
349,7.315178,15.0
350,8.012293,18.9
351,7.8869114,14.0
352,9.104948,11.2
353,8.838498,7.6
354,11.554495,6.7
355,10.279901,13.0
356,12.30396,19.6
357,16.725803,21.4
